role,name,team
student,Nineves,CS2113-F10-1
student,YaxinJoy,CS2113-F10-1
student,johnmcmonigle,CS2113-F10-1
student,FTang21,CS2113-F10-1
student,hearobe,CS2113-F10-1
student,lestersimjj,CS2113-F10-2
student,IncompetentDev,CS2113-F10-2
student,chihyingho,CS2113-F10-2
student,cheshire-doge,CS2113-F10-2
student,quitejasper,CS2113-F10-2
student,edemirkirkan,CS2113-F10-3
student,chintaiann,CS2113-F10-3
student,bbawj,CS2113-F10-3
student,mafpovbul,CS2113-F10-3
student,timchang27,CS2113-F10-3
student,YitHien,CS2113-F10-4
student,wli-linda,CS2113-F10-4
student,mathanmahe,CS2113-F10-4
student,OzairHasan,CS2113-F10-4
student,striris,CS2113-F12-1
student,cristoforows,CS2113-F12-1
student,Wang-Jingwei,CS2113-F12-1
student,allyfern72,CS2113-F12-1
student,yuhaochua,CS2113-F12-2
student,yanivbenchetrit,CS2113-F12-2
student,Bryan-BC,CS2113-F12-2
student,shunyao643,CS2113-F12-2
student,ElaineQT,CS2113-F12-3
student,suenalaba,CS2113-F12-3
student,johnsuharjono,CS2113-F12-3
student,LI-XINYI1,CS2113-F12-3
student,aiman-imtiaz,CS2113-T11-1
student,siewyangzhi,CS2113-T11-1
student,FaliciaOng,CS2113-T11-1
student,zhenster,CS2113-T11-1
student,XunyiiZ,CS2113-T11-1
student,Demonshaha,CS2113-T11-2
student,cczhouqi,CS2113-T11-2
student,sethlxk,CS2113-T11-2
student,DolphXty,CS2113-T11-2
student,yanjie1017,CS2113-T11-3
student,angyongming,CS2113-T11-3
student,lihao-InfoSec,CS2113-T11-3
student,ibrahimisramos,CS2113-T11-3
student,z0723-julie,CS2113-T11-4
student,BotBw,CS2113-T11-4
student,wang1351,CS2113-T11-4
student,darylhjd,CS2113-T11-4
student,Lim-Shi-Han,CS2113-T11-4
student,jltha,CS2113T-T09-1
student,laiisaac,CS2113T-T09-1
student,thedarie,CS2113T-T09-1
student,BradenTeo,CS2113T-T09-1
student,yuzhongng,CS2113T-T09-1
student,a1021492980,CS2113T-T09-2
student,alanlowzies,CS2113T-T09-2
student,emilysim00,CS2113T-T09-2
student,Musfirahe0556596,CS2113T-T09-2
student,TianaiYan,CS2113T-T09-2
student,wraineflores,CS2113T-T09-3
student,tanweili,CS2113T-T09-3
student,shxr3f,CS2113T-T09-3
student,kktai1512,CS2113T-T09-3
student,Anvitha-r,CS2113T-T09-3
student,hjunleon,CS2113T-T09-4
student,LDerpy,CS2113T-T09-4
student,Nnythingy,CS2113T-T09-4
student,tuan0369,CS2113T-T09-4
student,Shyunyin,CS2113T-T09-4
student,warrencxw,CS2113T-T10-1
student,lelerer,CS2113T-T10-1
student,matheril,CS2113T-T10-1
student,ivanaitzliddat,CS2113T-T10-1
student,froststein,CS2113T-T10-1
student,tjiarong,CS2113T-T10-2
student,teanweijun,CS2113T-T10-2
student,1szheng,CS2113T-T10-2
student,HansHengGit,CS2113T-T10-2
student,hlwang56,CS2113T-T10-2
student,chooyikai,CS2113T-T10-3
student,heekit73098,CS2113T-T10-3
student,ngys117,CS2113T-T10-3
student,Yzkkk,CS2113T-T10-3
student,Ch40gRv1-Mu,CS2113T-T10-3
student,SeanHoWB,CS2113T-T10-4
student,glendonnotglen,CS2113T-T10-4
student,limjierui,CS2113T-T10-4
student,danbaterisna,CS2113T-T10-4
student,khseah,CS2113T-T10-4
student,okkhoy,teaching-team
student,damithc,teaching-team
